"title","body","labels","milestone","state"
"M1 — Pipelines & Codespaces","**Gate:** CI must pass on first commit.

Firebase dev/prod deployed. Codespaces verified. CI/CD green. Backup scheduled. Runbook v1 drafted. /docs/ structure committed to repo.

**Sprint:** S1 | **Week:** W2 | **Epic:** E1","type:feature,priority:p0,area:backend","M1 — Pipelines & Codespaces","open"
"M2 — Three-View Design System","**Gate:** WCAG AA contrast pass on all 3 palettes.

All components in Storybook. Three-view tokens committed. Photography brief + motion spec drafted. WCAG AA verified.

**Sprint:** S3 | **Week:** W6 | **Epic:** E2","type:feature,priority:p0,area:design","M2 — Three-View Design System","open"
"M3 — Auth & MFA","**Gate:** MFA bypass must be impossible.

Firebase Auth live. MFA enforced for all staff roles. Session management UI live. Audit log writing.

**Sprint:** S4 | **Week:** W8 | **Epic:** E3","type:feature,priority:p0,area:backend","M3 — Auth & MFA","open"
"M4 — Alpha: Three-View Storefront","**Gate:** Business owner sign-off on visual design + all 8 personas checked.

All 3 view homepages live on dev with real Firestore data. Age gates active. Prefix search working. Mobile-responsive.

**Sprint:** S8 | **Week:** W16 | **Epics:** E5","type:feature,priority:p0,area:frontend,view:pawn,view:cannabis,view:fireworks","M4 — Alpha: Three-View Storefront","open"
"M5 — eBay & Cross-Post","**Gate:** Sandbox end-to-end test passes.

Staff can push pawn items to eBay. Status syncs back. Cannabis/fireworks use local-pickup-only correctly.

**Sprint:** S9 | **Week:** W18 | **Epic:** E6","type:feature,priority:p1,area:backend","M5 — eBay & Cross-Post","open"
"M6 — Merchandising Live","**Gate:** Algolia search returns results in < 300ms.

E13 engine live: staff picks, trending, related items, quick-view, collection pages, Algolia. Marcus-grade photography standard active.

**Sprint:** S12 | **Week:** W24 | **Epic:** E13","type:feature,priority:p1,area:search,persona:marcus,persona:sandra,persona:jordan","M6 — Merchandising Live","open"
"M7 — Beta: Full Feature Set","**Gate:** Internal UAT sign-off from business owner + staff.

Pawn form, click-and-collect, seasonal engine (E14), conversion optimization (E17), CRM basics, compliance hardened. UAT complete.

**Sprint:** S14 | **Week:** W28","type:feature,priority:p0,area:frontend","M7 — Beta: Full Feature Set","open"
"M8 — AI & Post-Sale","**Gate:** AI description generation tested on 10 real items; Finds of the Week published.

E18 AI assistant live with Marcus-grade provenance copy. E16 post-sale operations. E19 editorial CMS with first 5 articles incl. founder story.

**Sprint:** S16 | **Week:** W32","type:feature,priority:p1,area:ai,persona:marcus,persona:jordan","M8 — AI & Post-Sale","open"
"M9 — CRM & Retention","**Gate:** autoFollowUp tested; Marcus cross-view journey validated in CRM.

E15 CRM dashboard live. VIP tiers active (Marcus, Kevin, Jordan). E12 alerts, favourites, SMS active. Weekly personalised digest per view running.

**Sprint:** S17 | **Week:** W34","type:feature,priority:p1,area:crm,persona:marcus,persona:kevin,persona:jordan","M9 — CRM & Retention","open"
"M10 — Staging Sign-Off","**Gate:** All Lighthouse gates pass. UAT pre-launch signed off.

Lighthouse ≥90 all views. Rules audited. Playwright suite passing. Sentry connected. Backup verified. Runbook complete.

**Sprint:** S18 | **Week:** W36","type:feature,priority:p0,area:frontend","M10 — Staging Sign-Off","open"
"M11 — Production Launch","**Gate:** All launch-day checklist items checked. Legal gate cleared.

DNS live. eBay prod keys. Staff trained. Legal sign-off received. GA4 goals live. E12/E15/E17/E18 soft-launched via feature flags.

**Sprint:** S19 | **Week:** W38","type:feature,priority:p0","M11 — Production Launch","open"
"E1: Set up GitHub org, repo & branch protection","Create GitHub org and repo. Configure branch protection rules on `main` and `develop`. Require PR reviews and passing CI before merge.

**Epic:** E1 | **Sprint:** S1 | **Points:** ~5","type:feature,priority:p0,area:backend","M1 — Pipelines & Codespaces","open"
"E1: Scaffold Vite + React 18 + TypeScript project","Initialise Vite 5 project with React 18 and TypeScript 5. Configure `tsconfig.json`, path aliases, and Tailwind v4 CSS-first setup.

**Epic:** E1 | **Sprint:** S1 | **Points:** ~5","type:feature,priority:p0,area:frontend","M1 — Pipelines & Codespaces","open"
"E1: Configure GitHub Actions CI/CD pipeline","Create `.github/workflows/ci.yml`: lint → typecheck → Vitest → build. Create `deploy.yml` with manual approval gate for production via GitHub Environments.

**Epic:** E1 | **Sprint:** S1 | **Points:** ~5","type:feature,priority:p0,area:backend","M1 — Pipelines & Codespaces","open"
"E1: Set up Firebase dev + prod projects","Create two Firebase projects (dev/prod). Configure Firestore, Authentication, Hosting, and Cloud Functions v2. Add environment-specific `.env` files (excluded from git).

**Epic:** E1 | **Sprint:** S1 | **Points:** ~5","type:feature,priority:p0,area:backend","M1 — Pipelines & Codespaces","open"
"E1: Configure GitHub Codespaces devcontainer","Create `.devcontainer/devcontainer.json` with Node 20, Firebase CLI, Firebase emulator suite, and VS Code extensions pre-installed. Verify cold start < 2 minutes.

**Epic:** E1 | **Sprint:** S1 | **Points:** ~3","type:feature,priority:p1,area:backend","M1 — Pipelines & Codespaces","open"
"E1: Schedule nightly Firestore backup to GCS","Configure Cloud Scheduler + Cloud Function to export Firestore to a GCS bucket nightly. Add document-count verification step. Document restore procedure in runbook.

**Epic:** E1 | **Sprint:** S1 | **Points:** ~3","type:feature,priority:p0,area:backend","M1 — Pipelines & Codespaces","open"
"E1: Draft Operational Runbook v1 — all 9 playbooks","Create `/docs/runbook.md` with all 9 incident playbooks: site down, Firestore outage, eBay API failure, Firebase Auth outage, data breach response, backup restore, hotfix deploy, age-gate failure, Sentry alert triage.

**Epic:** E1 | **Sprint:** S1 | **Points:** ~5","type:feature,priority:p0,area:backend","M1 — Pipelines & Codespaces","open"
"E1: Initialise Docs-as-Code /docs/ folder structure","Commit initial `/docs/` structure: `/docs/epics/`, `/docs/adr/`, `/docs/schema/`, `/docs/project-management/`, `/docs/reports/`. Add README in each folder. Add `.github/ISSUE_TEMPLATE/` scaffolds and `labels.yml`.

**Epic:** E1 | **Sprint:** S1 | **Points:** ~3","type:feature,priority:p0,area:backend","M1 — Pipelines & Codespaces","open"
